
PL/SQL procedure successfully completed.


        ID HASH_BLOCKS    HASH_KB TOTAL_COST  HASH_COST      DELTA
       210         210       1680        554         42         -1
       211         211       1688        553         41         -1
       212         212       1696        552         40         -1
       213         213       1704        552         40          0
       214         214       1712        551         39         -1
       215         215       1720        550         38         -1
       216         216       1728        549         37         -1
       217         217       1736        548         36         -1
       218         218       1744        547         35         -1
       219         219       1752        546         34         -1
       220         220       1760        544         32         -2
       221         221       1768        543         31         -1
       222         222       1776        542         30         -1
       223         223       1784        541         29         -1
       224         224       1792        540         28         -1
       225         225       1800        540         28          0
       226         226       1808        539         27         -1
       227         227       1816        538         26         -1
       228         228       1824        537         25         -1
       229         229       1832        536         24         -1
       230         230       1840        536         24          0
       231         231       1848        535         23         -1
       232         232       1856        534         22         -1
       233         233       1864        532         20         -2
       234         234       1872        530         18         -2
       235         235       1880        530         18          0
       236         236       1888        529         17         -1
       237         237       1896        528         16         -1
       238         238       1904        527         15         -1
       239         239       1912        527         15          0
       240         240       1920        526         14         -1
       241         241       1928        525         13         -1
       242         242       1936        524         12         -1
       243         243       1944        524         12          0
       244         244       1952        523         11         -1
       245         245       1960        522         10         -1
       246         246       1968        521          9         -1
       247         247       1976        520          8         -1
       248         248       1984        520          8          0
       249         249       1992        519          7         -1
       250         250       2000        518          6         -1
       251         251       2008        517          5         -1
       252         252       2016        520          8          3
       253         253       2024        518          6         -2
       254         254       2032        516          4         -2
       255         255       2040        514          2         -2
       256         256       2048        514          2          0
       257         257       2056        514          2          0
       258         258       2064        514          2          0
       259         259       2072        514          2          0
       260         260       2080        514          2          0
       261         261       2088        514          2          0
       262         262       2096        514          2          0
       263         263       2104        514          2          0
       264         264       2112        514          2          0
       265         265       2120        514          2          0
       266         266       2128        514          2          0
       267         267       2136        514          2          0
       268         268       2144        514          2          0
       269         269       2152        514          2          0
       270         270       2160        514          2          0
       271         271       2168        514          2          0
       272         272       2176        514          2          0
       273         273       2184        514          2          0
       274         274       2192        514          2          0
       275         275       2200        514          2          0
       276         276       2208        514          2          0
       277         277       2216        514          2          0
       278         278       2224        514          2          0
       279         279       2232        514          2          0
       280         280       2240        514          2          0
       281         281       2248        514          2          0
       282         282       2256        514          2          0
       283         283       2264        514          2          0
       284         284       2272        514          2          0
       285         285       2280        514          2          0
       286         286       2288        514          2          0
       287         287       2296        514          2          0
       288         288       2304        514          2          0
       289         289       2312        514          2          0
       290         290       2320        514          2          0
       291         291       2328        514          2          0
       292         292       2336        514          2          0
       293         293       2344        514          2          0
       294         294       2352        514          2          0

        ID HASH_BLOCKS    HASH_KB TOTAL_COST  HASH_COST      DELTA
---------- ----------- ---------- ---------- ---------- ----------
       295         295       2360        514          2          0
       296         296       2368        514          2          0
       297         297       2376        514          2          0
       298         298       2384        514          2          0
       299         299       2392        514          2          0
       300         300       2400        514          2          0
       301         301       2408        514          2          0
       302         302       2416        514          2          0
       303         303       2424        514          2          0
       304         304       2432        514          2          0
       305         305       2440        514          2          0
       306         306       2448        514          2          0
       307         307       2456        514          2          0
       308         308       2464        514          2          0
       309         309       2472        514          2          0
       310         310       2480        514          2          0
       311         311       2488        514          2          0
       312         312       2496        514          2          0
       313         313       2504        514          2          0
       314         314       2512        514          2          0
       315         315       2520        514          2          0
       316         316       2528        514          2          0
       317         317       2536        514          2          0
       318         318       2544        514          2          0
       319         319       2552        514          2          0
       320         320       2560        514          2          0
       321         321       2568        514          2          0
       322         322       2576        514          2          0
       323         323       2584        514          2          0
       324         324       2592        514          2          0
       325         325       2600        514          2          0
       326         326       2608        514          2          0
       327         327       2616        514          2          0
       328         328       2624        514          2          0
       329         329       2632        514          2          0
       330         330       2640        514          2          0
       331         331       2648        514          2          0
       332         332       2656        514          2          0
       333         333       2664        514          2          0
       334         334       2672        514          2          0
       335         335       2680        514          2          0
       336         336       2688        514          2          0
       337         337       2696        514          2          0
       338         338       2704        514          2          0
       339         339       2712        514          2          0
       340         340       2720        514          2          0
       341         341       2728        514          2          0
       342         342       2736        514          2          0
       343         343       2744        514          2          0
       344         344       2752        514          2          0
       345         345       2760        514          2          0
       346         346       2768        514          2          0
       347         347       2776        514          2          0
       348         348       2784        514          2          0
       349         349       2792        514          2          0
       350         350       2800        514          2          0
       351         351       2808        514          2          0
       352         352       2816        514          2          0
       353         353       2824        514          2          0
       354         354       2832        514          2          0
       355         355       2840        514          2          0
       356         356       2848        514          2          0
       357         357       2856        514          2          0
       358         358       2864        514          2          0
       359         359       2872        514          2          0
       360         360       2880        514          2          0
       361         361       2888        514          2          0
       362         362       2896        514          2          0
       363         363       2904        514          2          0
       364         364       2912        514          2          0
       365         365       2920        514          2          0
       366         366       2928        514          2          0
       367         367       2936        514          2          0
       368         368       2944        514          2          0
       369         369       2952        514          2          0
       370         370       2960        514          2          0
       371         371       2968        514          2          0
       372         372       2976        514          2          0
       373         373       2984        514          2          0
       374         374       2992        514          2          0
       375         375       3000        514          2          0
       376         376       3008        514          2          0
       377         377       3016        514          2          0
       378         378       3024        514          2          0
       379         379       3032        514          2          0
       380         380       3040        514          2          0
       381         381       3048        514          2          0
       382         382       3056        514          2          0
       383         383       3064        514          2          0
       384         384       3072        514          2          0

381 rows selected.


1524 rows deleted.


Commit complete.

